Company,Closing Price,Day's Value (mn),Day's Volume (Nos.),Total No. of Outstanding Securities
SHURWID,6.80,1.41,"206,988.00","57,367,750"
SHYAMPSUG,130.20,0.57,"4,361.00","5,000,000"
SIBL,7.80,0.63,"80,223.00","1,140,155,100"
SICL,21.10,4.27,"201,416.00","40,000,000"
SILCOPHL,15.50,27.15,"1,744,947.00","103,807,000"
SILVAPHL,10.80,6.45,"594,991.00","136,500,000"
SIMTEX,16.90,14.27,"839,029.00","79,595,381"
SINGERBD,106.30,9.79,"91,870.00","99,702,838"
SINOBANGLA,44.30,40.28,"905,329.00","30,294,849"
SIPLC,47.30,2.94,"61,683.00","40,000,000"
SJIBLPBOND,"4,301.00",-,-,"100,000"
SKTRIMS,10.00,1.13,"112,656.00","84,700,000"
SONALIANSH,189.10,31.88,"164,911.00","10,848,000"
SONALILIFE,62.70,3.26,"51,239.00","47,500,000"
SONALIPAPR,175.50,108.02,"606,814.00","32,945,188"
SONARBAINS,26.90,3.88,"142,530.00","42,043,517"
SONARGAON,33.10,14.33,"425,725.00","26,467,056"
SOUTHEASTB,9.80,18.36,"1,847,794.00","1,337,396,388"
SPCERAMICS,19.90,37.58,"1,866,553.00","146,966,055"
SPCL,43.40,27.30,"626,821.00","186,631,629"
SQUARETEXT,54.00,10.42,"190,587.00","197,252,000"
SQURPHARMA,229.60,119.81,"521,282.00","886,451,010"
SSSTEEL,5.80,0.75,"130,340.00","328,633,200"
STANCERAM,71.60,0.84,"11,795.00","6,460,650"
STANDARINS,44.70,6.07,"134,702.00","43,296,592"
STANDBANKL,6.80,29.37,"4,224,443.00","1,115,842,308"
STYLECRAFT,75.20,50.56,"677,746.00","13,884,750"
SUMITPOWER,14.80,4.68,"316,205.00","1,067,877,239"
SUNLIFEINS,54.60,30.87,"569,892.00","35,760,690"
TAKAFULINS,34.00,0.73,"21,343.00","42,586,977"
TALLUSPIN,5.50,0.37,"68,261.00","89,335,375"
